alg,param,clusters,noise,ARI,NMI,F1
DBSCAN,"eps=0.05,min_samples=2",113,742,0.0013833910553671086,0.40281521687929067,0.006366847712263163
DBSCAN,"eps=0.05,min_samples=3",21,926,0.00034882299952911214,0.13373615593948804,0.004819807024456398
DBSCAN,"eps=0.05,min_samples=5",0,1000,0.0,0.0,0.005037380562107704
DBSCAN,"eps=0.05,min_samples=7",0,1000,0.0,0.0,0.004814035873363667
DBSCAN,"eps=0.07,min_samples=2",126,688,0.001851816605511017,0.45646944307147,0.005953913491246138
DBSCAN,"eps=0.07,min_samples=3",32,876,0.0006249887111141866,0.20615014043534538,0.005366094753936313
DBSCAN,"eps=0.07,min_samples=5",5,963,0.0002694219202796426,0.06390085861995408,0.0055212982791093684
DBSCAN,"eps=0.07,min_samples=7",2,981,9.487474846451015e-05,0.029522168136499032,0.005316645889919012
DBSCAN,"eps=0.09000000000000001,min_samples=2",146,611,0.0030367475881332984,0.5287427115908249,0.007879865817142085
DBSCAN,"eps=0.09000000000000001,min_samples=3",41,821,0.0011493599945399137,0.27980628284400655,0.006244176337475949
DBSCAN,"eps=0.09000000000000001,min_samples=5",8,940,0.00039753290967166083,0.09870820519769483,0.0057079523413688
DBSCAN,"eps=0.09000000000000001,min_samples=7",2,976,0.00012988498147726592,0.03631406848399581,0.005185694866329904
DBSCAN,"eps=0.11000000000000001,min_samples=2",168,522,0.0054086107575535775,0.6065487826468444,0.009895314809786707
DBSCAN,"eps=0.11000000000000001,min_samples=3",59,740,0.002040790847660292,0.3795006508922806,0.007666360012266176
DBSCAN,"eps=0.11000000000000001,min_samples=5",13,906,0.0006268531647293256,0.14830164969073356,0.005835156819839533
DBSCAN,"eps=0.11000000000000001,min_samples=7",2,967,0.00018580363974024684,0.04612261468663541,0.005082938893863801
DBSCAN,"eps=0.13,min_samples=2",171,446,0.008424836387010621,0.650387401478067,0.012587200485289657
DBSCAN,"eps=0.13,min_samples=3",77,634,0.003755313859309948,0.4786410774724982,0.008401942949307028
DBSCAN,"eps=0.13,min_samples=5",18,859,0.0009474665707631058,0.20520009421970364,0.0058593544171733885
DBSCAN,"eps=0.13,min_samples=7",5,941,0.0002887329650666885,0.08225525987215924,0.004991489774501072
