Product ID,Product Title,Merchant ID,Cluster ID,Cluster Label,Category ID,Category Label
1691,sim free apple iphone 6s 64gb premium pre owned rose gold,22,247,Apple iPhone 6S 64GB,2612,Mobile Phones
2655,sony xperia z5 premium,48,615,Sony Xperia Z5 Premium,2612,Mobile Phones
30285,zanussi zwf01483wh,134,41871,Zanussi ZWF01483WH,2620,Washing Machines
10880,lg oled65e8p 65 4k hdr dolby atmos picture on glass oled tv,131,4476,LG OLED65E8PLA,2614,TVs
43538,beko lcsm1545w,134,46125,Beko LCSM1545W White,2623,Fridges
22376,olympus om d e m10 mark iii mirrorless camera with m.zuiko digital ed 14 42 mm f/3.5 5.6 ez ed 40 150 mm f/4 5.6 r lens,7,38987,Olympus E-M10 Mark III + 14-42mm EZ + 40-150mm R,2617,Digital Cameras
36818,siemens gi18da30 eingebaut 94l a wei,119,43717,Siemens GI18DA30 Integrated,2621,Freezers
22340,canon eos 6d mark ii dslr camera with 24 105mm lens,22,38981,Canon EOS 6D Mark II + 24-105mm IS STM,2617,Digital Cameras
36104,amica fz041.3 freezer table top 38litres a rated white,131,43474,Amica FZ041.3 White,2621,Freezers
16753,hp intel xeon quad core l5410 2.33ghz fio kit 2.33ghz 12mb l2,66,6821,HP Intel Xeon DP Quad-core L5410 2.33GHz Socket 771 1333MHz bus Upgrade Tray,2615,CPUs
45000,siemens ki82lvs30g 54cm wide integrated in column fridge white,6,46355,Siemens KI82LVS30G Integrated,2623,Fridges
46177,bosch k hlschrank classic flachscharnier technik kil24v60 eek a,298,46706,Bosch KIL24V60 Integrated,2623,Fridges
27092,whirlpool wfo3p33dl/wfo3p33dl,98,40548,Whirlpool WFO3P33DLUK White,2619,Dishwashers
11383,lg 55uk6750p/55uk6750p,98,4546,LG 55UK6750,2614,TVs
3067,m horse pure 1 4g smartphone 5.7 hd ips 18 9 full screen dual front camera dual rear camera rom 32gb ram 3gb memory expandable 128gb 4380mah fingerprint sensor android 7.0 bluetooth 5.0 telephone m,3,895,M-horse Pure 1 Dual SIM,2612,Mobile Phones
34346,indesit iwdc6143 ecotime 6kg wash 5kg dry freestanding washer dryer white,6,42789,Indesit IWDC6143,2620,Washing Machines
37696,iq500 kg36nhi32 320 litre no frost fridge freezer,124,44076,Siemens KG36NHI32 Stainless Steel,2622,Fridge Freezers
27906,hotpoint ultima siuf32120x slimline dishwasher stainless steel,132,40687,Hotpoint SIUF22111G Grey,2619,Dishwashers
44527,montpellier mab340r retro larder fridge with ice box red,132,46263,Montpellier MAB340R Red,2623,Fridges
42691,liebherr fridge freezer 60cm white,315,45393,Liebherr CP4023 White,2622,Fridge Freezers
41223,sharp free standing american fridge freezer in stainless steel,31,44757,Sharp SJ-F1526E0I Stainless Steel,2622,Fridge Freezers
29158,zanussi zdt26022fa,119,41100,Zanussi ZDT26022FA Integrated,2619,Dishwashers
12849,kd 49xf8596 baep,42,5016,Sony KD-49XF8596,2614,TVs
28214,beko din14c11 fully integrated dishwasher,129,40760,Beko DIN14C11 Integrated,2619,Dishwashers
39030,hoover hvbf5192bhk 197 x 55cm frost free freestanding fridge freezer black,6,44255,Hoover HVBF5192BHK,2622,Fridge Freezers
